福建移动,#genre#
CCTV1,http://183.251.61.207/PLTV/88888888/224/3221225812/index.m3u8
CCTV2,http://183.251.61.207/PLTV/88888888/224/3221225800/index.m3u8
CCTV3,http://iptv.shabb.cn/TVOD/6000000001000022313/wasusyt/index.m3u8
CCTV4,http://183.251.61.207/PLTV/88888888/224/3221225802/index.m3u8
CCTV5,http://iptv.shabb.cn/TVOD/6000000001000016431/wasusyt/index.m3u8
CCTV5+,http://183.251.61.207/PLTV/88888888/224/3221225821/index.m3u8
CCTV6,http://iptv.shabb.cn/TVOD/6000000001000004574/wasusyt/index.m3u8
CCTV7,http://183.251.61.207/PLTV/88888888/224/3221225805/index.m3u8
CCTV8,http://iptv.shabb.cn/TVOD/6000000001000001070/wasusyt/index.m3u8
CCTV9,http://183.251.61.207/PLTV/88888888/224/3221225820/index.m3u8
CCTV10,http://183.251.61.207/PLTV/88888888/224/3221225814/index.m3u8
CCTV11,http://183.251.61.207/PLTV/88888888/224/3221225815/index.m3u8
CCTV12,http://183.251.61.207/PLTV/88888888/224/3221225816/index.m3u8
CCTV13,http://183.251.61.207/PLTV/88888888/224/3221225817/index.m3u8
CCTV14,http://183.251.61.207/PLTV/88888888/224/3221225819/index.m3u8
CCTV15,http://183.251.61.207/PLTV/88888888/224/3221225818/index.m3u8
CCTV16,http://iptv.shabb.cn/TVOD/1000000006000233002/ystenlive/index.m3u8
CCTV17,http://iptv.shabb.cn/TVOD/1000000006000268004/ystenlive/index.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8
厦门卫视,http://iptv.shabb.cn/TVOD/1000000005000266006/ystenlive/index.m3u8
广东卫视,http://183.251.61.207/PLTV/88888888/224/3221225824/index.m3u8
浙江卫视,http://183.251.61.207/PLTV/88888888/224/3221225825/index.m3u8
北京卫视,http://183.251.61.207/PLTV/88888888/224/3221225826/index.m3u8
湖南卫视,http://183.251.61.207/PLTV/88888888/224/3221225827/index.m3u8
上海东方卫视,http://183.251.61.207/PLTV/88888888/224/3221225828/index.m3u8
天津卫视,http://183.251.61.207/PLTV/88888888/224/3221225830/index.m3u8
辽宁卫视,http://183.251.61.207/PLTV/88888888/224/3221225832/index.m3u8
东南卫视,http://183.251.61.207/PLTV/88888888/224/3221225833/index.m3u8
江西卫视,http://183.251.61.207/PLTV/88888888/224/3221225834/index.m3u8
四川卫视,http://183.251.61.207/PLTV/88888888/224/3221225835/index.m3u8
广西卫视,http://183.251.61.207/PLTV/88888888/224/3221225836/index.m3u8
河北卫视,http://183.251.61.207/PLTV/88888888/224/3221225837/index.m3u8
贵州卫视,http://183.251.61.207/PLTV/88888888/224/3221225838/index.m3u8
山西卫视,http://183.251.61.207/PLTV/88888888/224/3221225839/index.m3u8
湖北卫视,http://183.251.61.207/PLTV/88888888/224/3221225840/index.m3u8
青海卫视,http://183.251.61.207/PLTV/88888888/224/3221225841/index.m3u8
河南卫视,http://183.251.61.207/PLTV/88888888/224/3221225842/index.m3u8
山东卫视,http://183.251.61.207/PLTV/88888888/224/3221225843/index.m3u8
安徽卫视,http://183.251.61.207/PLTV/88888888/224/3221225844/index.m3u8
甘肃卫视,http://183.251.61.207/PLTV/88888888/224/3221225845/index.m3u8
内蒙古视,http://183.251.61.207/PLTV/88888888/224/3221225846/index.m3u8
江苏卫视,http://183.251.61.207/PLTV/88888888/224/3221225847/index.m3u8
深圳卫视,http://183.251.61.207/PLTV/88888888/224/3221225848/index.m3u8
宁夏卫视,http://183.251.61.207/PLTV/88888888/224/3221225849/index.m3u8
陕西卫视,http://183.251.61.207/PLTV/88888888/224/3221225850/index.m3u8
吉林卫视,http://183.251.61.207/PLTV/88888888/224/3221225851/index.m3u8
新疆卫视,http://183.251.61.207/PLTV/88888888/224/3221225852/index.m3u8
云南卫视,http://183.251.61.207/PLTV/88888888/224/3221225853/index.m3u8
西藏卫视,http://183.251.61.207/PLTV/88888888/224/3221225854/index.m3u8
旅游卫视,http://183.251.61.207/PLTV/88888888/224/3221225855/index.m3u8
康巴卫视,http://183.251.61.207/PLTV/88888888/224/3221225856/index.m3u8
黑龙江卫视,http://183.251.61.207/PLTV/88888888/224/3221225862/index.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
凤凰卫视,http://cdn.132.us.kg/live/fhzw/stream.m3u8
凤凰中文,http://ali.hlspull.yximgs.com/live/diyp_fh2.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/diyp_fh1.flv
凤凰香港,http://ali.hlspull.yximgs.com/live/diyp_fh3.flv
凤凰电影,http://home.js001.com:7777/stream/channelid/884059847?profile=pass
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB翡翠台(备用),http://php.jdshipin.com/TVOD/iptv.php?id=huali2
DW,https://ss5.domint.net:3032/vozz_str/vozzmedia/playlist.m3u8
